SIDE: A
FORMAT:timestamp,temp,voltage
2024-04-02T14:34:24.844015,-999.0,2.2058823
2024-04-02T14:34:24.886534,-999.0,2.2058823
2024-04-02T14:34:24.937852,-999.0,2.2058823
2024-04-02T14:34:24.989202,-999.0,2.2058823
2024-04-02T14:34:25.055262,-999.0,2.2058823
2024-04-02T14:34:25.120538,-999.0,2.2058823
2024-04-02T14:34:25.188340,-999.0,2.2058823
2024-04-02T14:34:25.254233,-999.0,2.2058823
2024-04-02T14:34:25.321515,-999.0,2.2058823
2024-04-02T14:34:25.372017,-999.0,2.2058823
2024-04-02T14:34:25.438522,-999.0,2.2058823
2024-04-02T14:34:25.490275,-999.0,2.2058823
2024-04-02T14:34:25.554221,-999.0,2.2058823
2024-04-02T14:34:25.605952,-999.0,2.2058823
2024-04-02T14:34:25.656586,-999.0,2.2058823
2024-04-02T14:34:25.720645,-999.0,2.2058823
2024-04-02T14:34:25.788820,-999.0,2.2058823
2024-04-02T14:34:25.855566,-999.0,2.2058823
2024-04-02T14:34:25.920994,-999.0,2.2058823
2024-04-02T14:34:25.986096,-999.0,2.2058823
