SIDE: A
FORMAT:timestamp,temp,voltage
2024-04-02T14:10:36.696194,-999.0,2.2058823
2024-04-02T14:10:36.737487,-999.0,2.2058823
2024-04-02T14:10:36.791544,-999.0,2.2058823
2024-04-02T14:10:36.856861,-999.0,2.2058823
2024-04-02T14:10:36.908781,-999.0,2.2058823
2024-04-02T14:10:36.961162,-999.0,2.2058823
2024-04-02T14:10:37.020394,-999.0,2.2058823
2024-04-02T14:10:37.071649,-999.0,2.2058823
2024-04-02T14:10:37.124431,-999.0,2.2058823
2024-04-02T14:10:37.176835,-999.0,2.2058823
2024-04-02T14:10:37.242373,-999.0,2.2058823
2024-04-02T14:10:37.307158,-999.0,2.2058823
2024-04-02T14:10:37.373434,-999.0,2.2058823
2024-04-02T14:10:37.437712,-999.0,2.2058823
2024-04-02T14:10:37.490371,-999.0,2.2058823
2024-04-02T14:10:37.556654,-999.0,2.2058823
2024-04-02T14:10:37.621593,-999.0,2.2058823
2024-04-02T14:10:37.695902,-999.0,2.2058823
2024-04-02T14:10:37.756666,-999.0,2.2058823
2024-04-02T14:10:37.824012,-999.0,2.2058823
2024-04-02T14:10:37.890550,-999.0,2.2058823
2024-04-02T14:10:37.958395,-999.0,2.2058823
2024-04-02T14:10:38.023380,-999.0,2.2058823
