SIDE: A
FORMAT:timestamp,temp,voltage
2024-04-02T15:24:10.968077,23.25,12.0
2024-04-02T15:24:11.012327,23.25,12.0
2024-04-02T15:24:11.077995,23.25,12.0
2024-04-02T15:24:11.129108,23.25,12.0
2024-04-02T15:24:11.180718,23.25,12.0
2024-04-02T15:24:11.246444,23.25,12.0
2024-04-02T15:24:11.299960,23.25,12.0
2024-04-02T15:24:11.361266,23.25,12.0
2024-04-02T15:24:11.414273,23.25,12.0
2024-04-02T15:24:11.477197,23.25,12.0
2024-04-02T15:24:11.528533,23.25,12.0
2024-04-02T15:24:11.596085,23.25,12.0
2024-04-02T15:24:11.661114,23.25,12.0
2024-04-02T15:24:11.712717,23.25,12.0
2024-04-02T15:24:11.777868,23.25,12.0
2024-04-02T15:24:11.828908,23.25,12.0
2024-04-02T15:24:11.879089,23.25,12.0
2024-04-02T15:24:11.944317,23.25,12.0
2024-04-02T15:24:12.013043,23.25,12.0
2024-04-02T15:24:12.080228,23.25,12.0
2024-04-02T15:24:12.145783,23.25,12.0
2024-04-02T15:24:12.212900,23.25,12.0
2024-04-02T15:24:12.265049,23.25,12.0
2024-04-02T15:24:12.328212,23.25,12.0
2024-04-02T15:24:12.380322,23.25,12.0
2024-04-02T15:24:12.446403,23.25,12.0
2024-04-02T15:24:12.512443,23.25,12.0
2024-04-02T15:24:12.563333,23.25,12.0
2024-04-02T15:24:12.629963,23.25,12.0
2024-04-02T15:24:12.696019,23.25,12.0
2024-04-02T15:24:12.746262,23.25,12.0
2024-04-02T15:24:12.813293,23.25,12.0
2024-04-02T15:24:12.879378,23.25,12.0
2024-04-02T15:24:12.930433,23.25,12.0
2024-04-02T15:24:12.996942,23.25,12.0
2024-04-02T15:24:13.061525,23.25,12.0
2024-04-02T15:24:13.113033,23.25,12.0
2024-04-02T15:24:13.179901,23.25,12.0
2024-04-02T15:24:13.246286,23.25,12.0
2024-04-02T15:24:13.315600,23.25,12.0
2024-04-02T15:24:13.379756,23.25,12.0
2024-04-02T15:24:13.429974,23.25,12.0
2024-04-02T15:24:13.494811,23.25,12.0
2024-04-02T15:24:13.561085,23.25,12.0
2024-04-02T15:24:13.628349,23.25,12.0
2024-04-02T15:24:13.694469,23.25,12.0
2024-04-02T15:24:13.746198,23.25,12.0
2024-04-02T15:24:13.811145,23.25,12.0
